"Situação dos Órgãos e Entidades do Ente Federativo"
"Data da Pesquisa: 02/09/2026"
"Ente Federativo: 06.354.468/0001-60 - Maranhão"
"Observação: As datas mencionadas nas colunas dos itens referem-se à validade da comprovação do item, conforme exigido para fins de verificação documental."
""
"CNPJ";"Nome";"Tipo de Administração";"Regularidade Fiscal";"1.1";"1.2";"1.3";"1.4";"1.5";"2.1.1";"2.1.2";"3.1.1";"3.1.2";"3.2.1";"3.2.2";"3.2.3";"3.2.4";"3.3";"3.4.1";"3.4.2";"3.5";"3.6";"3.7";"4.1";"4.2";"4.3";"5.1";"5.2";"5.3";"5.4";"5.5";"5.6";"5.7";"5.8"
"24.723.042/0001-19";"ACADEMIA DE POLICIA MILITAR GONCALVES DIAS";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"23.310.197/0001-60";"BATALHAO DE BOMBEIROS MARITIMOS";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24.719.747/0001-62";"BATALHAO DE MISSOES ESPECIAIS";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24.977.127/0001-23";"BATALHAO DE POLICIA AMBIENTAL";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24.986.558/0001-56";"CENTRO DE FORMACAO E APERFEICOAMENTO DE PRACAS DO ESTADO DO MARANHAO.";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"26.910.466/0001-18";"CENTRO DE INTELIGENCIA DA POLICIA CIVIL - MA";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"03.628.011/0001-09";"CENTRO DE SAUDE DA CIDADE OPERARIA";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"30.957.002/0001-34";"CMTV DA POLICIA MILITAR";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"22.626.750/0001-06";"COLEGIO MILITAR TIRADENTES II";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"22.498.674/0001-09";"COLEGIO MILITAR TIRADENTES III";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"29.492.637/0001-24";"COLEGIO MILITAR TIRADENTES IV";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"40.986.271/0001-82";"COMANDO OPERACIONAL DO CORPO DE BOMBEIROS DE AREA-03 (COCB-03)";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
